"범죄별","발생지별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"방화","동래","범죄 발생지","","8","6","6","4","8","5","6","7","8","9","2","4","5","10",
"방화","남구","범죄 발생지","","11","12","7","4","10","7","6","10","7","4","3","3","2","1",
"방화","북구","범죄 발생지","","9","5","8","7","5","6","11","11","5","5","1","7","3","8",
"방화","해운대","범죄 발생지","","15","5","14","8","7","7","2","6","7","6","6","13","5","12",
"방화","사하","범죄 발생지","","2","13","7","7","7","4","6","10","7","5","10","11","2","5",
"방화","금정","범죄 발생지","","8","3","9","17","6","4","1","12","4","6","3","6","2","-",
"방화","강서","범죄 발생지","","2","4","2","4","3","2","4","-","2","-","-","1","3","3",
"방화","연제","범죄 발생지","","8","5","9","9","12","5","8","6","5","8","1","5","4","5",
"방화","수영","범죄 발생지","","5","4","4","7","3","4","3","2","3","4","1","7","2","1",
"방화","사상","범죄 발생지","","11","24","10","11","12","13","15","11","13","9","6","3","4","3",
"방화","기장군","범죄 발생지","","4","5","5","4","4","3","5","4","4","1","-","3","3","5",
"방화","중구","범죄 발생지","","3","4","3","3","8","6","7","2","2","2","1","4","6","3",
"방화","동구","범죄 발생지","","20","17","17","11","20","11","15","12","11","16","5","13","17","6",
"방화","서구","범죄 발생지","","8","9","13","2","8","5","3","9","6","5","3","5","3","3",
"방화","남구","범죄 발생지","","5","4","5","10","1","3","5","3","10","2","6","-","2","6",
"방화","북구","범죄 발생지","","11","12","12","21","13","14","10","10","8","8","14","4","4","4",
"방화","수성","범죄 발생지","","9","10","4","7","13","7","6","5","9","3","12","3","7","6",
"방화","달서","범죄 발생지","","16","21","15","19","15","13","13","22","9","12","10","18","11","8",
"방화","달성군","범죄 발생지","","6","8","7","8","8","9","12","6","7","4","4","2","3","2",
"방화","군위군","범죄 발생지","","","","","","","","","","","","","","-","-",
"방화","중구","범죄 발생지","","5","2","5","11","3","7","5","4","3","6","5","4","6","5",
"방화","동구","범죄 발생지","","3","3","1","7","2","8","1","1","3","-","2","-","2","1",
"방화","서구","범죄 발생지","","9","15","12","20","18","8","13","16","10","10","9","19","12","9",
"방화","미추홀","범죄 발생지","","19","22","17","20","13","17","21","12","11","10","12","11","10","14",
"방화","연수","범죄 발생지","","7","8","10","6","5","6","5","4","6","7","6","6","7","3",
"방화","남동","범죄 발생지","","24","26","16","19","11","19","10","16","13","6","6","12","6","10",
"방화","부평","범죄 발생지","","44","19","27","18","24","10","17","12","16","19","6","11","21","12",
"방화","계양","범죄 발생지","","8","14","9","8","9","6","7","11","9","4","6","6","11","4",
"방화","강화군","범죄 발생지","","3","-","2","2","4","2","","1","1","2","2","1","-","-",
